test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize,num_train
0.5311683858046145,0.532998996990973,0.5345524450805754,0.8333333333333334,128,44_phys_tf,24,layer_24/width_16k/topk_32,l1,False,14
0.5159964209271958,0.5159970238095238,0.5221974206349206,1.0,16,47_reasoning_tf,24,layer_24/width_16k/standard,l1,False,7
0.5005931242742747,0.5040922619047619,0.501768220308957,1.0,128,47_reasoning_tf,24,layer_24/width_16k/standard,l1,False,7
0.7770512867794814,0.7774358974358975,0.8671903928367051,0.9004487964096287,16,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False,1024
0.8348057592297641,0.8348717948717949,0.9140522435789544,0.9388004895960832,128,63_wikidata_occupation_issinger,24,layer_24/width_16k/batch_topk_32,l1,False,1024
0.525507340455978,0.5275391611925214,0.5387790953008345,0.8333333333333334,16,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/p_anneal,l1,False,20
0.5282426146660438,0.5285497726124305,0.5400016341371245,0.625,128,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/p_anneal,l1,False,20
0.4076908254694935,0.5152065365410804,0.560575190678001,0.875,16,42_temp_sense,24,layer_24/width_16k/gated,l1,False,20
0.4649472967184054,0.5347253744893328,0.5594328534857769,0.875,128,42_temp_sense,24,layer_24/width_16k/gated,l1,False,20
0.5320213458305457,0.5320261437908497,0.5629160799967192,1.0,16,41_truthqa_tf,24,layer_24/width_16k/gated,l1,False,20
0.5882750070584865,0.5908496732026144,0.6166527688543191,1.0,128,41_truthqa_tf,24,layer_24/width_16k/gated,l1,False,20
0.5804932449685446,0.5810258738084431,0.5987338684020961,0.5,16,42_temp_sense,24,layer_24/width_16k/topk_32,l1,False,20
0.3335855452233682,0.5002269632319565,0.5,0.5,128,42_temp_sense,24,layer_24/width_16k/topk_32,l1,False,20
0.5582001164309337,0.570718481699051,0.6153476724640664,1.0,16,42_temp_sense,24,layer_24/width_16k/standard,l1,False,10
0.6300383961444016,0.6430185268865793,0.6880120097162394,1.0,128,42_temp_sense,24,layer_24/width_16k/standard,l1,False,10
